dataset: ALLAML | 2 classes | 7129 features | deivce: cpu
hd:8, dp:0.4, wd:0.0005, layer 1 
epoch 1 | train ACC 35.7143 % | test ACC 65.5172 % | train loss 0.0725
epoch 11 | train ACC 100.0 % | test ACC 77.5862 % | train loss 0.0053
epoch 21 | train ACC 100.0 % | test ACC 72.4138 % | train loss 0.0051
epoch 31 | train ACC 100.0 % | test ACC 68.9655 % | train loss 0.005
epoch 41 | train ACC 100.0 % | test ACC 68.9655 % | train loss 0.005
epoch 51 | train ACC 100.0 % | test ACC 70.6897 % | train loss 0.0049
epoch 61 | train ACC 100.0 % | test ACC 77.5862 % | train loss 0.0049
epoch 71 | train ACC 100.0 % | test ACC 75.8621 % | train loss 0.0049
epoch 81 | train ACC 100.0 % | test ACC 77.5862 % | train loss 0.0049
epoch 91 | train ACC 100.0 % | test ACC 72.4138 % | train loss 0.0049
epoch 101 | train ACC 100.0 % | test ACC 74.1379 % | train loss 0.0049
epoch 111 | train ACC 100.0 % | test ACC 75.8621 % | train loss 0.0049
epoch 121 | train ACC 100.0 % | test ACC 75.8621 % | train loss 0.0049
epoch 131 | train ACC 100.0 % | test ACC 74.1379 % | train loss 0.0049
epoch 141 | train ACC 100.0 % | test ACC 74.1379 % | train loss 0.0049
epoch 151 | train ACC 100.0 % | test ACC 77.5862 % | train loss 0.0049
epoch 161 | train ACC 100.0 % | test ACC 77.5862 % | train loss 0.0049
epoch 171 | train ACC 100.0 % | test ACC 75.8621 % | train loss 0.0049
epoch 181 | train ACC 100.0 % | test ACC 75.8621 % | train loss 0.0049
epoch 191 | train ACC 100.0 % | test ACC 75.8621 % | train loss 0.0049
1layers, Final test  ACC: 74.1379 %
hd:8, dp:0.4, wd:0.0005, layer 2 
epoch 1 | train ACC 21.4286 % | test ACC 39.6552 % | train loss 0.0155
epoch 11 | train ACC 92.8571 % | test ACC 68.9655 % | train loss 0.0076
epoch 21 | train ACC 78.5714 % | test ACC 56.8966 % | train loss 0.0075
epoch 31 | train ACC 92.8571 % | test ACC 58.6207 % | train loss 0.0052
