dataset: CLL_SUB | 3 classes | 11340 features | deivce: cpu
hd:8, dp:0.4, wd:0.0005, layer 1 
epoch 1 | train ACC 28.5714 % | test ACC 27.7778 % | train loss 0.0099
epoch 11 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0098
epoch 21 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 31 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 41 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 51 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 61 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 71 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 81 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 91 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 101 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 111 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 121 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 131 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 141 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 151 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 161 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 171 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 181 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
epoch 191 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0097
1layers, Final test  ACC: 45.5556 %
hd:8, dp:0.4, wd:0.0005, layer 2 
epoch 1 | train ACC 47.619 % | test ACC 47.7778 % | train loss 0.01
epoch 11 | train ACC 33.3333 % | test ACC 46.6667 % | train loss 0.0099
epoch 21 | train ACC 47.619 % | test ACC 51.1111 % | train loss 0.0097
epoch 31 | train ACC 52.381 % | test ACC 36.6667 % | train loss 0.0094
epoch 41 | train ACC 52.381 % | test ACC 42.2222 % | train loss 0.0093
epoch 51 | train ACC 47.619 % | test ACC 50.0 % | train loss 0.0093
epoch 61 | train ACC 52.381 % | test ACC 46.6667 % | train loss 0.0094
epoch 71 | train ACC 47.619 % | test ACC 41.1111 % | train loss 0.0095
epoch 81 | train ACC 42.8571 % | test ACC 47.7778 % | train loss 0.0094
epoch 91 | train ACC 52.381 % | test ACC 48.8889 % | train loss 0.0093
epoch 101 | train ACC 47.619 % | test ACC 44.4444 % | train loss 0.0089
epoch 111 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0095
epoch 121 | train ACC 61.9048 % | test ACC 48.8889 % | train loss 0.0089
epoch 131 | train ACC 61.9048 % | test ACC 50.0 % | train loss 0.0092
epoch 141 | train ACC 52.381 % | test ACC 47.7778 % | train loss 0.0089
epoch 151 | train ACC 52.381 % | test ACC 44.4444 % | train loss 0.0086
