dataset: GLI85 | 2 classes | 22283 features | deivce: cpu
hd:8, dp:0.4, wd:0.0005, layer 1 
epoch 1 | train ACC 58.8235 % | test ACC 61.7647 % | train loss 0.0082
epoch 11 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 81 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 91 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 101 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 111 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 121 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 131 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 141 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 151 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 161 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 171 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 181 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 191 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
1layers, Final test  ACC: 70.5882 %
hd:8, dp:0.4, wd:0.0005, layer 2 
epoch 1 | train ACC 52.9412 % | test ACC 47.0588 % | train loss 0.0082
epoch 11 | train ACC 64.7059 % | test ACC 72.0588 % | train loss 0.0082
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.008
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0079
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0079
epoch 61 | train ACC 64.7059 % | test ACC 72.0588 % | train loss 0.0077
epoch 71 | train ACC 70.5882 % | test ACC 70.5882 % | train loss 0.0076
epoch 81 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.008
epoch 91 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0077
epoch 101 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0079
epoch 111 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0074
epoch 121 | train ACC 64.7059 % | test ACC 69.1177 % | train loss 0.008
epoch 131 | train ACC 64.7059 % | test ACC 69.1177 % | train loss 0.0081
epoch 141 | train ACC 64.7059 % | test ACC 69.1177 % | train loss 0.0076
epoch 151 | train ACC 70.5882 % | test ACC 70.5882 % | train loss 0.0073
epoch 161 | train ACC 64.7059 % | test ACC 72.0588 % | train loss 0.0075
epoch 171 | train ACC 76.4706 % | test ACC 73.5294 % | train loss 0.0073
epoch 181 | train ACC 82.3529 % | test ACC 73.5294 % | train loss 0.0073
epoch 191 | train ACC 88.2353 % | test ACC 75.0 % | train loss 0.0073
2layers, Final test  ACC: 70.5882 %
hd:8, dp:0.4, wd:0.0005, layer 3 
epoch 1 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 11 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.008
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0079
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0078
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0078
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0071
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0072
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0066
epoch 81 | train ACC 70.5882 % | test ACC 70.5882 % | train loss 0.006
epoch 91 | train ACC 82.3529 % | test ACC 72.0588 % | train loss 0.0058
epoch 101 | train ACC 82.3529 % | test ACC 76.4706 % | train loss 0.0052
epoch 111 | train ACC 76.4706 % | test ACC 70.5882 % | train loss 0.0055
epoch 121 | train ACC 94.1176 % | test ACC 82.3529 % | train loss 0.005
epoch 131 | train ACC 100.0 % | test ACC 76.4706 % | train loss 0.0045
epoch 141 | train ACC 100.0 % | test ACC 73.5294 % | train loss 0.0038
epoch 151 | train ACC 100.0 % | test ACC 76.4706 % | train loss 0.0043
epoch 161 | train ACC 88.2353 % | test ACC 72.0588 % | train loss 0.0035
epoch 171 | train ACC 94.1176 % | test ACC 80.8824 % | train loss 0.0038
epoch 181 | train ACC 82.3529 % | test ACC 75.0 % | train loss 0.0044
epoch 191 | train ACC 94.1176 % | test ACC 79.4118 % | train loss 0.0033
3layers, Final test  ACC: 77.9412 %
hd:8, dp:0.4, wd:0.0005, layer 4 
epoch 1 | train ACC 41.1765 % | test ACC 35.2941 % | train loss 0.0082
epoch 11 | train ACC 64.7059 % | test ACC 69.1177 % | train loss 0.0082
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.008
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0079
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0078
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0066
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0062
epoch 81 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.006
epoch 91 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0058
epoch 101 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0046
epoch 111 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0051
epoch 121 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0051
epoch 131 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0044
epoch 141 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0046
epoch 151 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0048
epoch 161 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0047
epoch 171 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0045
epoch 181 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0056
epoch 191 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0042
4layers, Final test  ACC: 70.5882 %
hd:8, dp:0.4, wd:0.0005, layer 5 
epoch 1 | train ACC 70.5882 % | test ACC 60.2941 % | train loss 0.0082
epoch 11 | train ACC 64.7059 % | test ACC 69.1177 % | train loss 0.0081
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0078
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0073
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0068
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0054
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0049
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0043
epoch 81 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0042
epoch 91 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0044
